??,??(V),??(A),??(W),??(Hz),????,??,??
326,220.61,0.240,42.40,49.97,0.801,8:51:32 PM:957,1
327,220.66,0.223,36.00,49.99,0.732,8:51:33 PM:332,1
328,220.63,0.288,49.91,49.97,0.785,8:51:33 PM:707,1
329,220.64,0.205,33.12,49.97,0.732,8:51:34 PM:098,1
330,220.59,0.250,43.02,49.99,0.780,8:51:34 PM:473,1
331,220.54,0.217,35.38,49.96,0.739,8:51:34 PM:848,1
332,220.42,0.248,42.10,49.99,0.770,8:51:35 PM:222,1
333,220.57,0.310,58.73,49.96,0.859,8:51:35 PM:597,1
334,220.57,0.305,58.00,49.97,0.862,8:51:35 PM:988,1
335,220.24,0.326,58.97,49.95,0.821,8:51:36 PM:363,1
336,220.17,0.322,60.52,49.97,0.854,8:51:36 PM:753,1
337,220.50,0.214,35.29,49.99,0.748,8:51:37 PM:128,1
338,220.53,0.272,51.26,49.97,0.855,8:51:37 PM:503,1
339,220.31,0.249,43.33,49.97,0.790,8:51:37 PM:894,1
340,220.27,0.314,60.64,49.98,0.877,8:51:38 PM:284,1
341,220.23,0.277,49.73,49.98,0.815,8:51:38 PM:675,1
342,220.40,0.254,46.87,49.97,0.837,8:51:39 PM:050,1
343,220.35,0.330,51.29,49.99,0.705,8:51:39 PM:440,1
344,220.25,0.271,47.93,49.98,0.803,8:51:39 PM:815,1
345,220.19,0.298,55.55,49.98,0.847,8:51:40 PM:190,1
346,220.20,0.208,34.43,49.99,0.752,8:51:40 PM:565,1
347,220.25,0.299,55.40,49.97,0.841,8:51:40 PM:955,1
348,220.17,0.366,72.29,49.99,0.897,8:51:41 PM:346,1
349,220.31,0.262,45.34,49.98,0.785,8:51:41 PM:721,1
350,220.35,0.308,59.71,49.98,0.880,8:51:42 PM:112,1
351,220.39,0.253,46.26,49.96,0.830,8:51:42 PM:486,1
352,220.28,0.327,63.67,49.99,0.884,8:51:42 PM:924,1
353,220.41,0.249,45.67,49.98,0.832,8:51:43 PM:314,1
354,220.27,0.340,65.77,49.99,0.878,8:51:43 PM:721,1
355,220.32,0.271,50.96,49.97,0.853,8:51:44 PM:126,1
356,220.31,0.292,55.97,49.97,0.870,8:51:44 PM:627,1
357,220.35,0.192,30.44,49.98,0.720,8:51:45 PM:033,1
358,220.18,0.321,58.93,49.97,0.834,8:51:45 PM:423,1
359,220.36,0.318,52.95,49.96,0.756,8:51:45 PM:814,1
360,220.36,0.227,40.04,49.97,0.800,8:51:46 PM:189,1
361,220.27,0.175,28.32,49.98,0.735,8:51:46 PM:876,1
362,220.39,0.213,36.32,49.98,0.774,8:51:47 PM:251,1
363,220.23,0.324,62.97,49.98,0.883,8:51:47 PM:641,1
364,220.14,0.297,57.15,49.97,0.874,8:51:48 PM:032,1
365,220.17,0.282,51.15,49.98,0.824,8:51:48 PM:422,1
366,220.12,0.305,58.47,49.99,0.871,8:51:48 PM:813,1
367,220.14,0.312,60.08,49.99,0.875,8:51:49 PM:203,1
368,220.13,0.367,51.17,49.97,0.633,8:51:49 PM:578,1
369,220.21,0.302,48.75,49.98,0.733,8:51:49 PM:969,1
370,220.05,0.204,32.62,49.99,0.727,8:51:50 PM:344,1
371,220.07,0.289,54.89,49.97,0.863,8:51:50 PM:734,1
372,220.35,0.201,31.68,49.99,0.715,8:51:51 PM:125,1
373,220.28,0.235,40.07,49.98,0.774,8:51:51 PM:500,1
374,220.26,0.225,37.68,49.97,0.760,8:51:51 PM:890,1
375,220.31,0.229,39.23,49.99,0.778,8:51:52 PM:265,1
376,220.29,0.278,35.31,50.00,0.577,8:51:52 PM:640,1
377,220.32,0.236,41.41,49.99,0.796,8:51:53 PM:031,1
378,220.48,0.231,40.05,49.99,0.786,8:51:53 PM:405,1
379,220.46,0.314,31.65,49.99,0.457,8:51:53 PM:796,1
380,220.51,0.231,37.09,49.98,0.728,8:51:54 PM:187,1
381,220.46,0.206,33.89,49.98,0.746,8:51:54 PM:561,1
382,220.51,0.223,37.43,49.98,0.761,8:51:54 PM:937,1
383,220.75,0.183,28.18,49.99,0.698,8:51:55 PM:327,1
384,220.64,0.258,47.36,50.00,0.832,8:51:55 PM:718,1
385,220.66,0.238,42.64,50.00,0.812,8:51:56 PM:107,1
386,220.54,0.259,47.50,50.01,0.832,8:51:56 PM:487,1
387,220.61,0.316,61.34,49.98,0.880,8:51:56 PM:864,1
388,220.61,0.361,72.28,49.99,0.908,8:51:57 PM:244,1
389,220.50,0.368,72.99,50.01,0.900,8:51:57 PM:624,1
390,220.55,0.303,58.65,49.99,0.878,8:51:58 PM:028,1
391,220.74,0.240,40.31,50.00,0.761,8:51:58 PM:414,1
392,220.56,0.192,30.82,49.99,0.728,8:51:58 PM:788,1
